x-axis,1,2,3
second,Volt,Volt,Volt
-981.5000E-03,+18.7500E-03,+53.7500E-03,+68.7500E-03
-981.0000E-03,+18.7500E-03,+47.5000E-03,+68.7500E-03
-980.5000E-03,+18.7500E-03,+47.5000E-03,+84.3750E-03
-980.0000E-03,+3.1250E-03,+47.5000E-03,+68.7500E-03
-979.5000E-03,+50.0000E-03,+41.2500E-03,+68.7500E-03
-979.0000E-03,+34.3750E-03,+41.2500E-03,+84.3750E-03
-978.5000E-03,+34.3750E-03,+47.5000E-03,+53.1250E-03
-978.0000E-03,+50.0000E-03,+41.2500E-03,+68.7500E-03
-977.5000E-03,+50.0000E-03,+47.5000E-03,+68.7500E-03
-977.0000E-03,+50.0000E-03,+35.0000E-03,+68.7500E-03
-976.5000E-03,+65.6250E-03,+41.2500E-03,+84.3750E-03
-976.0000E-03,+65.6250E-03,+41.2500E-03,+68.7500E-03
-975.5000E-03,+96.8750E-03,+41.2500E-03,+68.7500E-03
-975.0000E-03,+65.6250E-03,+41.2500E-03,+68.7500E-03
-974.5000E-03,+96.8750E-03,+41.2500E-03,+68.7500E-03
-974.0000E-03,+96.8750E-03,+41.2500E-03,+68.7500E-03
-973.5000E-03,+128.1250E-03,+35.0000E-03,+68.7500E-03
-973.0000E-03,+128.1250E-03,+41.2500E-03,+68.7500E-03
-972.5000E-03,+159.3750E-03,+47.5000E-03,+53.1250E-03
-972.0000E-03,+206.2500E-03,+47.5000E-03,+84.3750E-03
-971.5000E-03,+253.1250E-03,+41.2500E-03,+84.3750E-03
-971.0000E-03,+253.1250E-03,+47.5000E-03,+100.0000E-03
-970.5000E-03,+315.6250E-03,+41.2500E-03,+84.3750E-03
-970.0000E-03,+346.8750E-03,+60.0000E-03,+68.7500E-03
-969.5000E-03,+362.5000E-03,+41.2500E-03,+84.3750E-03
-969.0000E-03,+3.1250E-03,+41.2500E-03,+84.3750E-03
-968.5000E-03,+18.7500E-03,+47.5000E-03,+84.3750E-03
-968.0000E-03,+3.1250E-03,+47.5000E-03,+68.7500E-03
-967.5000E-03,+18.7500E-03,+35.0000E-03,+68.7500E-03
-967.0000E-03,+18.7500E-03,+28.7500E-03,+84.3750E-03
-966.5000E-03,+18.7500E-03,+41.2500E-03,+68.7500E-03
-966.0000E-03,+18.7500E-03,+47.5000E-03,+100.0000E-03
-965.5000E-03,+3.1250E-03,+47.5000E-03,+68.7500E-03
-965.0000E-03,+18.7500E-03,+41.2500E-03,+37.5000E-03
-964.5000E-03,+3.1250E-03,+41.2500E-03,+68.7500E-03
-964.0000E-03,+18.7500E-03,+53.7500E-03,+84.3750E-03
-963.5000E-03,+18.7500E-03,+41.2500E-03,+68.7500E-03
-963.0000E-03,+18.7500E-03,+47.5000E-03,+68.7500E-03
-962.5000E-03,+3.1250E-03,+41.2500E-03,+84.3750E-03
-962.0000E-03,+3.1250E-03,+41.2500E-03,+84.3750E-03
-961.5000E-03,+3.1250E-03,+41.2500E-03,+68.7500E-03
-961.0000E-03,+3.1250E-03,+53.7500E-03,+84.3750E-03
-960.5000E-03,+18.7500E-03,+41.2500E-03,+68.7500E-03
-960.0000E-03,+34.3750E-03,+47.5000E-03,+100.0000E-03
-959.5000E-03,+34.3750E-03,+41.2500E-03,+100.0000E-03
-959.0000E-03,+3.1250E-03,+47.5000E-03,+84.3750E-03
-958.5000E-03,+18.7500E-03,+41.2500E-03,+68.7500E-03
-958.0000E-03,+50.0000E-03,+41.2500E-03,+68.7500E-03
