PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,error,cv_PC,cv_PV,syn_PC,syn_PV
"[3, 59]","[2, 214]","[4, 175]","[4, 104]","[2, 112]","[2, 77]","[1, 59]","[0, 157]","[1, 188]","[4, 27]","[0, 35]",0.476,0.64,0.05,0.26,0.33
"[3, 252]","[2, 140]","[4, 123]","[4, 13]","[2, 153]","[2, 182]","[1, 221]","[0, 158]","[1, 35]","[4, 132]","[0, 54]",0.5665,0.14,0,0.08,0.33
"[3, 55]","[2, 15]","[4, 65]","[4, 15]","[2, 27]","[2, 181]","[1, 180]","[0, 47]","[1, 154]","[4, 57]","[0, 82]",0.1915,0.74,0.98,0.15,0.34
"[3, 161]","[2, 165]","[4, 157]","[4, 23]","[2, 14]","[2, 108]","[1, 238]","[0, 217]","[1, 119]","[4, 67]","[0, 109]",0.588,0.09,0,0.11,0.34
"[3, 244]","[2, 215]","[4, 224]","[4, 188]","[2, 36]","[2, 209]","[1, 193]","[0, 211]","[1, 162]","[4, 34]","[0, 115]",0.591,0,0,0.03,0.34
"[3, 68]","[2, 246]","[4, 115]","[4, 235]","[2, 184]","[2, 249]","[1, 161]","[0, 17]","[1, 43]","[4, 234]","[0, 237]",0.7025,0.92,3.24,0.14,0.34
"[3, 204]","[2, 49]","[4, 28]","[4, 24]","[2, 32]","[2, 212]","[1, 189]","[0, 15]","[1, 179]","[4, 199]","[0, 148]",0.5885,0.03,0,0.03,0.35
"[3, 193]","[2, 33]","[4, 248]","[4, 205]","[2, 123]","[2, 161]","[1, 180]","[0, 61]","[1, 245]","[4, 52]","[0, 130]",0.5945,0.01,0,0.03,0.35
"[3, 243]","[2, 89]","[4, 245]","[4, 232]","[2, 49]","[2, 85]","[1, 163]","[0, 123]","[1, 232]","[4, 101]","[0, 199]",0.596,0,0,0.03,0.35
"[3, 231]","[2, 167]","[4, 16]","[4, 65]","[2, 108]","[2, 185]","[1, 133]","[0, 170]","[1, 194]","[4, 24]","[0, 153]",0.603,0,0,0.06,0.35
"[3, 136]","[2, 83]","[4, 154]","[4, 23]","[2, 144]","[2, 195]","[1, 191]","[0, 75]","[1, 195]","[4, 109]","[0, 238]",0.6145,0.14,0.01,0.25,0.35
"[3, 200]","[2, 185]","[4, 205]","[4, 67]","[2, 23]","[2, 155]","[1, 252]","[0, 241]","[1, 213]","[4, 110]","[0, 190]",0.584,0.05,0,0.03,0.36
"[3, 202]","[2, 239]","[4, 40]","[4, 96]","[2, 42]","[2, 190]","[1, 82]","[0, 84]","[1, 231]","[4, 45]","[0, 115]",0.586,0.06,0,0.04,0.36
"[3, 136]","[2, 128]","[4, 242]","[4, 58]","[2, 59]","[2, 242]","[1, 77]","[0, 155]","[1, 180]","[4, 134]","[0, 26]",0.5905,0.14,0,0.15,0.36
"[3, 198]","[2, 241]","[4, 195]","[4, 193]","[2, 231]","[2, 93]","[1, 71]","[0, 23]","[1, 153]","[4, 86]","[0, 151]",0.6045,0,0,0.06,0.36
"[3, 222]","[2, 128]","[4, 63]","[4, 60]","[2, 124]","[2, 65]","[1, 143]","[0, 212]","[1, 208]","[4, 13]","[0, 203]",0.6075,0,0,0.07,0.36
"[3, 175]","[2, 107]","[4, 212]","[4, 45]","[2, 137]","[2, 167]","[1, 203]","[0, 26]","[1, 195]","[4, 144]","[0, 72]",0.586,0.11,0,0.08,0.37
"[3, 122]","[2, 223]","[4, 185]","[4, 186]","[2, 14]","[2, 123]","[1, 145]","[0, 51]","[1, 84]","[4, 13]","[0, 129]",0.5895,0.07,0,0.07,0.37
"[3, 204]","[2, 191]","[4, 82]","[4, 23]","[2, 10]","[2, 210]","[1, 206]","[0, 183]","[1, 40]","[4, 206]","[0, 214]",0.5915,0.07,0,0.07,0.37
"[3, 243]","[2, 90]","[4, 196]","[4, 46]","[2, 152]","[2, 87]","[1, 199]","[0, 85]","[1, 44]","[4, 29]","[0, 32]",0.5985,0,0,0.03,0.37
"[3, 254]","[2, 85]","[4, 66]","[4, 142]","[2, 210]","[2, 17]","[1, 233]","[0, 68]","[1, 73]","[4, 195]","[0, 240]",0.607,0,0,0.05,0.37
"[3, 213]","[2, 121]","[4, 61]","[4, 29]","[2, 238]","[2, 123]","[1, 233]","[0, 56]","[1, 70]","[4, 111]","[0, 167]",0.608,0,0,0.06,0.37
"[3, 253]","[2, 252]","[4, 75]","[4, 105]","[2, 129]","[2, 51]","[1, 131]","[0, 226]","[1, 132]","[4, 228]","[0, 96]",0.608,0,0,0.06,0.37
"[3, 202]","[2, 183]","[4, 215]","[4, 154]","[2, 132]","[2, 231]","[1, 65]","[0, 223]","[1, 129]","[4, 51]","[0, 172]",0.5925,0.03,0.02,0.04,0.38
"[3, 196]","[2, 225]","[4, 247]","[4, 89]","[2, 135]","[2, 123]","[1, 174]","[0, 158]","[1, 28]","[4, 40]","[0, 73]",0.5995,0.02,0,0.03,0.38
"[3, 205]","[2, 171]","[4, 90]","[4, 249]","[2, 65]","[2, 207]","[1, 245]","[0, 164]","[1, 201]","[4, 48]","[0, 193]",0.601,0.02,0,0.04,0.38
"[3, 226]","[2, 233]","[4, 68]","[4, 86]","[2, 155]","[2, 249]","[1, 244]","[0, 32]","[1, 144]","[4, 160]","[0, 80]",0.607,0,0,0.05,0.38
"[3, 220]","[2, 64]","[4, 15]","[4, 254]","[2, 97]","[2, 17]","[1, 11]","[0, 134]","[1, 11]","[4, 12]","[0, 106]",0.6085,0.01,0.01,0.07,0.38
"[3, 67]","[2, 155]","[4, 250]","[4, 30]","[2, 134]","[2, 87]","[1, 146]","[0, 202]","[1, 166]","[4, 234]","[0, 121]",0.619,0.04,0,0.14,0.38
"[3, 41]","[2, 180]","[4, 186]","[4, 51]","[2, 26]","[2, 109]","[1, 142]","[0, 240]","[1, 86]","[4, 32]","[0, 153]",0.579,0.1,0.08,0.1,0.39
"[3, 159]","[2, 231]","[4, 202]","[4, 33]","[2, 118]","[2, 109]","[1, 65]","[0, 194]","[1, 168]","[4, 49]","[0, 38]",0.5815,0.12,0,0.05,0.39
"[3, 95]","[2, 165]","[4, 181]","[4, 62]","[2, 195]","[2, 176]","[1, 233]","[0, 180]","[1, 111]","[4, 83]","[0, 235]",0.5815,0.18,0.08,0.19,0.39
